chrI	1	17770
chrI	183257	215496
chrII	1	3839
chrII	784896	795659
chrIII	1	11598
chrIII	288480	327289
chrIV	1	22575
chrIV	1483780	1488087
chrV	1	27557
chrV	562274	576784
chrVI	1	14698
chrVI	247174	257436
chrVII	1	11071
chrVII	1043631	1070236
chrVIII	1	14164
chrVIII	515537	533397
chrIX	1	16278
chrIX	402757	419821
chrX	1	35993
chrX	720345	730957
chrXI	1	3276
chrXI	642113	657417
chrXII	1	9410
chrXII	1007400	1022186
chrXIII	1	9496
chrXIII	897648	913017
chrXIV	1	10988
chrXIV	752710	765110
chrXV	1	22993
chrXV	1043865	1120088
chrXVI	1	29075
chrXVI	895765	920208
